pjack_b,wr_b,sf0_b,nrmse
0.0,0.0,0.0,0.39060297914893155
0.0,0.0,0.33,0.10161762493695732
0.0,0.0,0.67,0.09890456156660514
0.0,0.0,1.0,0.10543841771878792
0.0,0.33,0.0,0.593041826287882
0.0,0.33,0.33,0.11107890615572108
0.0,0.33,1.0,0.137274546023854
0.0,0.67,0.0,0.8014306077520313
0.0,0.67,0.33,0.13894708108690082
0.0,0.67,1.0,0.16658122600233866
0.0,1.0,0.0,0.9999679647377757
0.0,1.0,0.33,0.17121481804670016
0.0,1.0,0.67,0.18299434821585467
0.0,1.0,1.0,0.20131561375417464
0.33,0.0,0.0,0.32803941679699133
0.33,0.0,0.33,0.05781715039117628
0.33,0.0,0.67,0.05791314069980038
0.33,0.0,1.0,0.08372350723990665
0.33,0.33,0.0,0.5270406924710611
0.33,0.33,0.33,0.06539565198679886
0.33,0.33,0.67,0.0839286476287759
0.33,0.33,1.0,0.09549799221770289
0.33,0.67,0.0,0.7354270760492438
0.33,0.67,0.33,0.09740749946248736
0.33,0.67,0.67,0.10459143905011346
0.33,0.67,1.0,0.12444966045314128
0.33,1.0,0.0,0.9385720638992273
0.33,1.0,0.67,0.14037632196215735
0.33,1.0,1.0,0.15723934968717973
0.67,0.0,0.0,0.9355551756994758
0.67,0.0,0.33,0.014176086766571595
0.67,0.0,0.67,0.03552641040855496
0.67,0.0,1.0,0.06484592746629383
0.67,0.33,0.0,0.4623778883214997
0.67,0.33,0.33,0.026623898538230703
0.67,0.33,1.0,0.07225137003536271
0.67,0.67,0.0,0.6695577506279555
0.67,0.67,0.33,0.04730454639589104
0.67,0.67,0.67,0.06700882545990355
0.67,0.67,1.0,0.08669688317598896
0.67,1.0,0.0,0.8754270015210232
0.67,1.0,0.33,0.07968631054499503
0.67,1.0,0.67,0.09418585007099978
1.0,0.0,0.0,0.20946833855835464
1.0,0.0,0.33,0.007852022907379996
1.0,0.0,0.67,0.04149913113350321
1.0,0.0,1.0,0.0543321725891814
1.0,0.33,0.0,0.3983080471708774
1.0,0.33,0.33,0.0
1.0,0.33,0.67,0.02771586143205017
1.0,0.67,0.0,0.6037054567448349
1.0,0.67,0.33,0.018847456254385032
1.0,0.67,0.67,0.04780354882079004
1.0,0.67,1.0,0.0651676751925914
1.0,1.0,0.0,0.8112897649706907
1.0,1.0,0.67,0.05956553797854513
